name,twt_handle,tweet_body,post_date,reply_cnt,rt_cnt,like_cnt
NFT Whale Alert｜We are hiring,@nftgobot," NFT Big Trade Transfer: [0xdb30cc] -> [0x7eff7e] NFT:  Mutant   Ape   Yacht Club  #5800  https:// e4d786628fea6478f785a6d7e704777c86a7c6/5800 …  Price: 34.46 WETH ($114,058.81) Gas: 0.0092 ETH ($30.57) #MAYC",2022-03-28T04:45:22.000Z,,,
NFT Monitor,@NFT_Monitor,  Mutant   Ape   Yacht Club  |  #MAYC   #NFT #4264 sold for 30 ETH (99.18K $)   https:// 786628fea6478f785a6d7e704777c86a7c6/4264 …,2022-03-28T04:45:14.000Z,,,3
Terry Cheng,@Bat_tery,"Here is a look at the top 10 NFT projects from the past week.
•Azuki: $47.6 million, +297.9%
•Bored  Ape   Yacht Club : $46.8 million, -58.5%
• Mutant   Ape   Yacht Club : $40.1 million, -37.9%
•MURI: $26.0 million, +94.8%
•WOW Galaxy: $23.9 million, N/A",2022-03-28T04:39:59.000Z,1,,4
nanocube.io | NFT alerts #2,@nanocubealerts2,"Mutant   Ape   Yacht Club  #5800 sold for 34.33627231005229 ETH! ($113613.57)

-  https:// 786628fea6478f785a6d7e704777c86a7c6/5800 … -  https:// 60e4d786628fea6478f785a6d7e704777c86a7c6/5800 … Rarity  613/18022 #mayc   #mutantape    #mutantapeclub   #nft   #nanocube",2022-03-28T04:33:55.000Z,,,2
NFT Whale Alert｜We are hiring,@nftgobot," NFT Big Trade Transfer: [0xce6574] -> [0x0411fe] NFT:  Mutant   Ape   Yacht Club  #22535  https:// e4d786628fea6478f785a6d7e704777c86a7c6/22535 …  Price: 33.5 ETH ($110,885.15) Gas: 0.009 ETH ($29.89) #MAYC",2022-03-28T04:12:46.000Z,,,
NFT FLOOR PRICE UPDATES,@0xbotfather,"Featured Collection:  @TheLoomSociety Daily floor price update

Cryptopunks: 71.99Ξ (  1.47%)
Goons of Balatroon: 0.17Ξ (  -5.56%)
Bored  Ape  YC: 106.9Ξ (  3.99%) Mutant   Ape   Yacht Club : 22.69Ξ (  -1.35%)
CLONE X  X TAKASHI MURAKAMI: 15.0Ξ (  0.0%)",2022-03-28T04:07:02.000Z,1,,
NFT Whale Alert｜We are hiring,@nftgobot," NFT Big Trade Transfer: [0x0a125a] -> [0x08bd65] NFT:  Mutant   Ape   Yacht Club  #3857  https:// e4d786628fea6478f785a6d7e704777c86a7c6/3857 …  Price: 32 WETH ($105,609.61) Gas: 0.0134 ETH ($44.4) #MAYC",2022-03-28T04:06:44.000Z,,,
nanocube.io | NFT alerts #2,@nanocubealerts2,"Mutant   Ape   Yacht Club  #12562 sold for 1.73 ETH! ($5713.24- BUNDLE!)

-  https:// 786628fea6478f785a6d7e704777c86a7c6/12562 … -  https:// 60e4d786628fea6478f785a6d7e704777c86a7c6/12562 … Rarity  5045/18022 #mayc   #mutantape    #mutantapeclub   #nft   #nanocube",2022-03-28T02:42:11.000Z,,1,2
nanocube.io | NFT alerts #2,@nanocubealerts2,"Mutant   Ape   Yacht Club  #8781 sold for 1.73 ETH! ($5713.24)

-  https:// 786628fea6478f785a6d7e704777c86a7c6/8781 … -  https:// 60e4d786628fea6478f785a6d7e704777c86a7c6/8781 … Rarity  3481/18022 #mayc   #mutantape    #mutantapeclub   #nft   #nanocube",2022-03-28T02:42:11.000Z,,1,3
NftBossAlert,@nftbossalert,"Collection:  Mutant   Ape   Yacht Club  Mutant   Ape   Yacht Club  was bought
Price: 26.99 ETH ($88734.75) 
Seller: PalladiumETH
Buyer: C13052021L https:// 786628fea6478f785a6d7e704777c86a7c6/7446 …  #MAYC   #NFTSales   #NFTWhale",2022-03-28T02:42:05.000Z,,,
