name,twt_handle,tweet_body,post_date,reply_cnt,rt_cnt,like_cnt
Skanft,@skanft,Can you check dm ,2022-03-28T10:55:50.000Z,,,
Tyrek,@SirTyrek,@Axie_Chompx4   @brycent_   @InvestEarth2   @earth2viking,2022-03-28T10:55:49.000Z,,,1
ぴの,@miho_cha24,,2022-03-28T10:55:28.000Z,,,
☆mayu☆,@v72_sm216,,2022-03-28T10:55:01.000Z,1,,1
VIFJ / ヴィフジェイ,@VIFJ_KOBE,,2022-03-28T10:54:11.000Z,,,1
NTC.eth,@nftradersclub,"Azuki   #NFT  holders bought

35 pcs  The Tombstone -  @The_DASK  ( minted )
9 pcs     @freshfoolsNFT   ( and sold 5 ) 
5 pcs     @MoodRollers  

in last 1 hours  #NFTs   #NFTCommunity",2022-03-28T10:53:02.000Z,,5,9
no se,@tu21807045,,2022-03-28T10:52:51.000Z,,,
＠太郎,@sapporotarou3,,2022-03-28T10:52:21.000Z,,,
きょろ,@Adno_b2,,2022-03-28T10:52:18.000Z,,,
Small Caps R Us,@SlowSteady10,So let me get this straight. @MuriNFT  is just a forward facing   @AzukiZen   deriv and  @SappySealsNFT  nation is now piling into a fucking deriv becuz  @wabdoteth  tweeted about it?,2022-03-28T10:52:03.000Z,,1,2
Reddy Gives,@ReddyGives,@Ganesh25144444    @itschandan17    @Prashant_winner,2022-03-28T10:51:31.000Z,,,
˙˚ʚは さ ま るɞ˚˙,@hasamr04040,,2022-03-28T10:50:48.000Z,1,,1
はる,@_haru__3_3,,2022-03-28T10:50:08.000Z,1,,1
Blair,@web3blair,Azuki  & 3Landers Among Rocket-Fuelled NFTs Launching from the Floor  https:// nders-among-rocket-fuelled-nfts-launching-from-the-floor …   #nft   #cryptocurrency   #blockchain,2022-03-28T10:50:08.000Z,,,1
お花,@hanao_hanao_twi,,2022-03-28T10:50:03.000Z,,,
うめみや,@umechan_s_saku,,2022-03-28T10:50:01.000Z,,,1
りちょう,@RityouMomohana,,2022-03-28T10:49:54.000Z,,,
ふう,@Q_07_2,,2022-03-28T10:49:45.000Z,,,1
Elmond Golito,@ElTenacitas,Gracias Miguel,2022-03-28T10:49:35.000Z,1,,2
茶々丸,@tyatya_maru4646,,2022-03-28T10:49:28.000Z,,,1
NASEER ALOBAIDI,@alobaidi_naseer,@AzukiZen,2022-03-28T10:49:07.000Z,,,
鯖野味噌煮,@tacca_sabano,,2022-03-28T10:48:48.000Z,1,,1
とと,@toto__0912,,2022-03-28T10:47:52.000Z,1,,1
eri*,@eri_hani7,,2022-03-28T10:47:44.000Z,,,2
うさぎり,@usagiri_tsuki,,2022-03-28T10:47:17.000Z,,,
Ignasi Abad,@UpperGG_,Buen meme,2022-03-28T10:46:45.000Z,1,,
ふう,@Q_07_2,,2022-03-28T10:46:35.000Z,1,,1
ev0x.eth,@ev0xeth,welcome to the garden! ,2022-03-28T10:46:32.000Z,,,
NSX-RRRRR,@nsxrrrrr,,2022-03-28T10:46:22.000Z,,,
要通販は固定ツイから,@kanameEX,,2022-03-28T10:46:03.000Z,1,,1
The Azuki Bot,@TheAzukiBot,The Current Floor Price for  Azuki  is Ξ15.7($52392.16) #NFTCommunity   #NFTs   #Azuki    #Azukizen    @AzukiZen  Follow  @ShellMechanic  for more!,2022-03-28T10:45:53.000Z,,1,2
eri*,@eri_hani7,,2022-03-28T10:47:44.000Z,,,2
うさぎり,@usagiri_tsuki,,2022-03-28T10:47:17.000Z,,,
Ignasi Abad,@UpperGG_,Buen meme,2022-03-28T10:46:45.000Z,1,,
ふう,@Q_07_2,,2022-03-28T10:46:35.000Z,1,,1
ev0x.eth,@ev0xeth,welcome to the garden! ,2022-03-28T10:46:32.000Z,,,
NSX-RRRRR,@nsxrrrrr,,2022-03-28T10:46:22.000Z,,,
要通販は固定ツイから,@kanameEX,,2022-03-28T10:46:03.000Z,1,,1
The Azuki Bot,@TheAzukiBot,The Current Floor Price for  Azuki  is Ξ15.7($52392.16) #NFTCommunity   #NFTs   #Azuki    #Azukizen    @AzukiZen  Follow  @ShellMechanic  for more!,2022-03-28T10:45:53.000Z,,1,2
PhenoM,@phenomsk1,"So far no projects have done what   @AzukiZen   has done, I've never felt so close to the people when I was part of the server, they actually pick community builders and set a culture for the long run, and that's what other projects lacked. Forever grateful to them  #IKZ",2022-03-28T10:45:46.000Z,,,
Abisoye pamilerin.eth,@Fieldmarshal58,But the tweet was from a verified accout,2022-03-28T10:45:17.000Z,,,
gose,@GoseIote,el unico que me ha hecho gracia sjdklasjdla,2022-03-28T10:45:14.000Z,1,,1
Seb Should Play Wario Date,@PlayWarioDate,Azuki  u know wario misses u rite,2022-03-28T10:45:04.000Z,,,1
Abisoye pamilerin.eth,@Fieldmarshal58,Thank god I didn't connect to my main wallet I would have been,2022-03-28T10:44:59.000Z,,,
ゆきはる@5代目クックルンクラムさんを爆推し,ゆきはる@5代目クックルン,,2022-03-28T10:44:31.000Z,,,
ぉしゅし,@teya_31,,2022-03-28T10:44:31.000Z,,,
NFT Metasoul,@Nft_Metasoul,"Azuki  whale holders increased by 24 in the past week, while the total number of holders fell during the same period. #NFT   #Azuki",2022-03-28T10:44:25.000Z,,,
♡あむちゃん♡♡,@5ha2uVM2e90LZ7W,,2022-03-28T10:44:11.000Z,,,
あみり@家具屋やってます,あみり@家具屋やってます,,2022-03-28T10:43:38.000Z,1,,
0xBoredApe | |,@0xBoredApe,"US$ 450mn = the market value of   @AzukiZen    collection assuming its priced at floor 15eth, thats equivalent to the most expensive painting ever sold Salvator Mundi. A or B?  #NFT",2022-03-28T10:43:31.000Z,,,3
うさぎり,@usagiri_tsuki,,2022-03-28T10:43:08.000Z,1,,1
DoYeon Park,@Dodo_ajrskan,How could I become famous like you? i hope so  and i try to be  @BoredApeYC    @larvalabs    @AzukiZen    @worldofwomennft,2022-03-28T10:42:08.000Z,,,2
あみり@家具屋やってます,あみり@家具屋やってます,,2022-03-28T10:43:38.000Z,1,,
0xBoredApe | |,@0xBoredApe,"US$ 450mn = the market value of   @AzukiZen    collection assuming its priced at floor 15eth, thats equivalent to the most expensive painting ever sold Salvator Mundi. A or B?  #NFT",2022-03-28T10:43:31.000Z,,,3
うさぎり,@usagiri_tsuki,,2022-03-28T10:43:08.000Z,1,,1
DoYeon Park,@Dodo_ajrskan,How could I become famous like you? i hope so  and i try to be  @BoredApeYC    @larvalabs    @AzukiZen    @worldofwomennft,2022-03-28T10:42:08.000Z,,,2
PEGGY,@opegi_pegiko,,2022-03-28T10:41:34.000Z,2,,4
えくchillでたんchillなJOEL,@FN_JOEL55,,2022-03-28T10:41:31.000Z,1,,
うめみや,@umechan_s_saku,,2022-03-28T10:40:01.000Z,1,,
ひろき,@ySR6I915JXUhIWV,,2022-03-28T10:39:21.000Z,1,,1
猫ちゃん＠MHXX&Rise,@MHXX_Prowler,,2022-03-28T10:39:11.000Z,,,1
まゆり(チェルちゃんファン),@wankumauma1020,,2022-03-28T10:38:49.000Z,1,,
大河　努楽真,@taigadrama2022,,2022-03-28T10:38:43.000Z,,,
KURO,@V9jPLznJTsKwfjt,,2022-03-28T10:37:56.000Z,1,,
クロΦωΦ,@black96696,,2022-03-28T10:37:35.000Z,,,
たまりSA名様推し,@hesikiri118,,2022-03-28T10:37:27.000Z,1,,
なが,@ng_sngk,,2022-03-28T10:37:14.000Z,,,
cherry coke書類の中,@bibicat7,,2022-03-28T10:36:59.000Z,,,
うめみや,@umechan_s_saku,,2022-03-28T10:36:22.000Z,1,,
うめみや,@umechan_s_saku,,2022-03-28T10:36:22.000Z,1,,
飛鳥,@Asky_xxx,,2022-03-28T10:35:38.000Z,,,1
KURO,@V9jPLznJTsKwfjt,,2022-03-28T10:35:24.000Z,1,,
アルジーナ,@algina_s09,,2022-03-28T10:35:12.000Z,,,
Rdy,@RdyLiao,"Hope to see u back in the garden, and hope to see you as a   once i get my OG mint in.",2022-03-28T10:34:59.000Z,,,
フ ラ ン君@読書/写真/詩(多忙にてリプ等困難),フ ラ ン君@読書/写真/詩(多忙にてリプ等困難),,2022-03-28T10:34:47.000Z,1,,1
NFT king,@NFTking1990,"二线蓝筹的崛起， azuki 打头阵，2周前复盘时地板价格12.2，现在是15.7，其实持有人数量反而下降了0.1K，同期doodle持有人增加了0.1K，地板跌0.5e,这种集中化趋势非常明显，也是一个重要支撑。",2022-03-28T10:34:01.000Z,2,,4
Syed Nabeel Kazmi,@nftnabeel,Dude if i were holding an   @AzukiZen   i would have done a web 2.0 v web 3.0 too,2022-03-28T10:33:59.000Z,,,2
Seek | #connectingthedots,@icollectjpegs,Welcome to the fam!,2022-03-28T10:33:59.000Z,,,
type-G,@GGg13456821,,2022-03-28T10:33:58.000Z,1,,
𝒾𝒷,@snowhite0602,,2022-03-28T10:33:49.000Z,1,,
bel.@べる。,bel.@べる。,,2022-03-28T10:32:49.000Z,,,
"wong3.eth(,,,)",@wong3eth,,2022-03-28T10:32:43.000Z,1,,
はしもと｜ダンドリ経営者｜感謝企画中,@hashimoto_no14,,2022-03-28T10:32:09.000Z,,,
kurama.eth,@kuramaeth,Another ape,2022-03-28T10:32:00.000Z,,,
茶々丸,@tyatya_maru4646,,2022-03-28T10:31:24.000Z,1,,1
すずちゃ𓂃◌𓈒♆.* フォロバ100,@Szupex,,2022-03-28T10:30:20.000Z,1,,
Black,@axie_rimuru,@RalphJonathanC   @cpsyche_ashushi   @CPAveryverysoon,2022-03-28T10:30:03.000Z,,,1
うめみや,@umechan_s_saku,,2022-03-28T10:29:54.000Z,1,,
Cepheus,@cepheusgg,congrats Eva!,2022-03-28T10:29:46.000Z,,,1
NFT Watcher,@nftwatcher9487,"[5/5]  #Azuki  (0xed5af388653567af2f388e6224dc7c4b3241c544)
  - 3 BAYC (Buy:3, Sell:1)
  - 1  AZUKI  (Buy:1, Sell:7)
  - 1 DOODLE (Buy:1, Sell:0)
  - 1 MAYC (Buy:1, Sell:0)",2022-03-28T10:29:45.000Z,,,
NFT Watcher,@nftwatcher9487,"[4/5]  #Fighter (0x87e738a3d5e5345d6212d8982205a564289e6324)
  - 3  AZUKI  (Buy:3, Sell:9)
  - 2 DOODLE (Buy:2, Sell:4)
  - 1 COOL (Buy:3, Sell:0)",2022-03-28T10:29:44.000Z,1,,
NFT Watcher,@nftwatcher9487,"[5/5]  #Azuki  (0xed5af388653567af2f388e6224dc7c4b3241c544)
  - 3 BAYC (Buy:3, Sell:1)
  - 1  AZUKI  (Buy:1, Sell:7)
  - 1 DOODLE (Buy:1, Sell:0)
  - 1 MAYC (Buy:1, Sell:0)",2022-03-28T10:29:45.000Z,,,
NFT Watcher,@nftwatcher9487,"[4/5]  #Fighter (0x87e738a3d5e5345d6212d8982205a564289e6324)
  - 3  AZUKI  (Buy:3, Sell:9)
  - 2 DOODLE (Buy:2, Sell:4)
  - 1 COOL (Buy:3, Sell:0)",2022-03-28T10:29:44.000Z,1,,
NFT Watcher,@nftwatcher9487,"[3/5]  #EveraiDuo (0x9a38dec0590abc8c883d72e52391090e948ddf12)
  - 3  AZUKI  (Buy:11, Sell:3)
  - 3 CLONEX (Buy:7, Sell:0)
  - 1 COOL (Buy:1, Sell:0)",2022-03-28T10:29:42.000Z,1,,
Blue Bunny Ape | tojear.eth,@to_jear,Nice. It’s like an accessible  Azuki  then,2022-03-28T10:29:40.000Z,,,2
Yoshitaka 亀山 ᶦᵏᶻ,@jdcomm_us,,2022-03-28T10:29:38.000Z,,,1
ハマチカマ,@7jhivKZi5iyjEqj,,2022-03-28T10:29:24.000Z,,,1
Premala.eth,@Premala_BRIC,@HollyWoodNFTs  you need to attend on Weds!,2022-03-28T10:29:10.000Z,,,
jpops,@jpops_eth,"Day 1:

Woke up, bought a “The Art Of Seasons” NFT because I thought the art looked sick. Definitely some kind of potential here imo especially with the  azuki  style art craze.

Besides that I know admittedly quite little here. Cost me .215 altogether with gas, that’s at floor.",2022-03-28T10:29:07.000Z,1,1,4
𝖘𝖊𝖎𝖘𝖍𝖎𝖓,@AngryTigerNFT,They already choose winners. ,2022-03-28T10:29:01.000Z,,,
ありんこママやっと4桁ブロガー,@arrinko1,,2022-03-28T10:28:54.000Z,,,
うぬぴ,@noel_2017_1109,,2022-03-28T10:28:52.000Z,1,,
DONNIΞ,@DONNIEjpeg,*drum roll*,2022-03-28T10:28:30.000Z,1,,1
カモミール（元 :琥珀糖 ）,@syQBBej71IRv1ph,,2022-03-28T10:28:05.000Z,1,,1
ハマチカマ,@7jhivKZi5iyjEqj,,2022-03-28T10:27:49.000Z,1,,
ねこたんたかたんどりーむ,@cheshirecat3521,,2022-03-28T10:27:42.000Z,,,1
HAMΞR TIMΞ,@HamerTime8,Love it fam ,2022-03-28T10:27:18.000Z,,,
𝒾𝒷,@snowhite0602,,2022-03-28T10:27:15.000Z,1,,1
"DeepestDepths.eth (,)",@DepthsDeeper,6  Azuki,2022-03-28T10:26:43.000Z,,,
リオ,@spbv_uw,,2022-03-28T10:26:23.000Z,,,1
Exempt,@Anoraksian,@InfusedNFT   @EclipseeFPS   @IdkBaller,2022-03-28T10:26:18.000Z,,,1
wsl yang,@wsl_yang,Azuki ：它能成为东方的BAYC吗？,2022-03-28T10:26:18.000Z,,,1
˙˚ʚあやɞ˚˙,@Naol__119,,2022-03-28T10:26:05.000Z,,,1
ヤナ@常闇眷属,ヤナ@常闇眷属,,2022-03-28T10:25:39.000Z,1,,1
Orbis86.eth,@orbis86_x,"Top 10 NFTs By Weekly Sales Volume:  Azuki  Tops The List, World Of Women Galaxy, MURI Join Top Ten | The non-fu  #nfts",2022-03-28T10:25:35.000Z,,,2
ﾏｯｹｲ,@Dylan_MacKay___,,2022-03-28T10:24:58.000Z,1,,
k mama,@You00444,,2022-03-28T10:24:35.000Z,1,,1
The NFT Rebel,@TheNFTRebel,Azuki  & 3Landers Among Rocket-Fuelled NFTs Launching from the Floor https:// nders-among-rocket-fuelled-nfts-launching-from-the-floor …  #Launch   #NFTart   #NFTCommunity   #NFTs   #Prices   #WomenNFTs,2022-03-28T10:24:04.000Z,,,
huy dang,@huycali9x,Love ur  azuki  ,2022-03-28T10:23:58.000Z,1,,
刀むゆ,@Katana_Muyu,,2022-03-28T10:23:56.000Z,1,,
なお＠,@na2chi2,,2022-03-28T10:23:50.000Z,1,,1
Uzi,@UZIBUYSNFT,wen  $BEAN    @AzukiZen,2022-03-28T10:23:38.000Z,,,
Zombie Cats,@zombiecatsnft,New vote up on discord and snapshot! Should we get a  @cryptopunksnfts  or   @AzukiZen   or another  @BoredApeYC  mutant ape? Head over now ,2022-03-28T10:23:32.000Z,2,2,13
ハマチカマ,@7jhivKZi5iyjEqj,,2022-03-28T10:23:15.000Z,1,,
Scrappiex,@PogoPeteElite,"Can't go to the  Azuki  Party because i'm 17. Anyways, here's the gang!   @AzukiZen   IKZ!",2022-03-28T10:23:14.000Z,,,1
k mama,@You00444,,2022-03-28T10:21:47.000Z,1,,1
chakibang,@bangchaniiskz12,,2022-03-28T10:21:03.000Z,,,
piggy,@piggybtc,,2022-03-28T10:20:31.000Z,,,1
コウGX,@w_kougx,,2022-03-28T10:20:17.000Z,,,1
ぱぷりん,@bananaACT4,,2022-03-28T10:20:12.000Z,1,,1
カルア@カルナガTV【YouTuber】,カルア@カルナガTV【YouTuber】,,2022-03-28T10:20:07.000Z,,,1
瑠衣,@s_r_0804,,2022-03-28T10:20:00.000Z,2,5,32
